tweet,clean_tweet,sentiment
"Peletakan Batu Pertama, Thoriqul Haq Bangun Huntap Korban Gempa https://t.co/K2Xz6tzf1i",peletakan batu thoriqul haq terbangun huntap korban gempa,Negative
"@fattyacidxx @infoBMKG Wkwkwk iyaaa. Pernah tuh gempa di mamasa, Sulawesi Barat. Udah setengah jam belum juga ada updatenya",iyaaa gempa mamasa sulawesi barat daya jam terkadang updatenya,Negative
"Gurarararara!!”  Tawa Whitebeard, tahukah kamu, tawanya itu juga melambangkan kekuatannya “gura gura no mi” alias “buah gempa gempa”",gurarararara tawa whitebeard tahukah tawanya melambangkan kekuatannya gura gura no berpikir alias buah gempa gempa,Negative
"Haiti dilanda gempa bumi, dua orang terkorban

Haiti dilanda gempa bumi berukuran 5.3 magnitud dan beberapa siri ge… https://t.co/dqlNOHYNbJ",haiti dilanda gempa bumi orang terkorban haiti dilanda gempa bumi berukuran magnitud terkadang siri berasa,Negative
"@ahongpleong @whatshittoyaa beneran jangan hong, waktu gempa jogja dia belom lahir",beneran hong gempa jogja lahir,Negative
@Gempa_Tsunami Endek na arak idap ne lek aikmel,tsunami endek terkena arak idap lek aikmel,Negative
"@fakhriamrullah Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/Xb3wE5cAbX",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"kamu itu kayak lempengan bumi ya, geser dikit aja bisa https://t.co/WIkQTa7Wlg hati aku.",lempengan bumi berguncang bergeser hati,Neutral
Gempa apa pusing 😞,gempa pusing,Negative
"Lombok, CNN Indonesia -- Gempa bumi tektonik magnitudo 4,6 mengguncang Lombok Barat pada Selasa (25/1), pukul 04.14… https://t.co/7fJRj6Novy",lombok cnn indonesia gempa bumi tektonik magnitudo mengguncang lombok barat daya selasa,Negative
"Mitigasi Gempa Banten Belum Imbang dan Banyak Menelan Korban

Oleh: Sahna Salfini Husyairoh, S.T
(Aktivis Muslimah)
https://t.co/HFOy3NoSGi",mitigasi gempa banten imbang terkadang menelan korban sahna salfini husyairoh aktivis muslimah,Negative
Duh w kok suka ngerasa gempa trs y hdh gbner ni,duh suka berasa gempa hdh gbner,Neutral
Museum Tsunami Aceh adalah sebuah museum yang dirancang sebagai monumen simbolis untuk Bencana Gempa Bumi dan Tsuna… https://t.co/6bKdHaU3TT,museum tsunami aceh museum berguncang dirancang monumen simbolis bencana gempa bumi terkadang tsuna,Negative
"SchApp! yang biasa ditanyain pas wawancara perekrutan panitia acara sekolah apa aja ya?

✄・・・
🧐 Trivia: Episentrum:… https://t.co/bsP2UoncCQ",schapp berguncang ditanyain wawancara perekrutan panitia acara sekolah berguncang trivia episentrum,Neutral
Mang gempa ya,gempa berguncang,Negative
secara lengkap tentang potensi gempa megathrust  Banten-Selat Sunda dan antisipasi serta mitigasinya oleh Tim Bidan… https://t.co/u1hpuRJBj6,lengkap potensi gempa megathrust bantenselat sunda terkadang antisipasi mitigasinya tim bidan,Neutral
"Info Gempa Mag:3.5 , 25-Jan-22 15:31:40 WIB, Lok:10.98 LS,118.43 BT (166 km BaratDaya KODI-SUMBABARATDAYA-NTT), Ked… https://t.co/NC7k9FrTLj",info gempa magnitudo januari wib lokasi barat daya kodisumbabaratdayantt kedalaman,Negative
@wellwho1 Gak usah besok tiap hari ada gempa min 20 kali.,besok terkadang gempa min kali,Negative
"Kemarin gempa di tempat lo berapa
kekuatannya?| 7 derajat celcius.
Klo di tempat lu?| 6 megapixel..|
Oh.. #duaduanyasakit",kemarin gempa lokasi kekuatannya derajat celcius megapixel rubuh,Negative
Serem banget sekarang sering gempa https://t.co/yihlat3pSu,serem gempa,Negative
Ratusan rumah rosak dan musnah https://t.co/mEO3UXBQeQ,ratusan rumah rosak terkadang musnah,Negative
Gempa?,gempa,Negative
Pernah gak sih lu pusing sampe rasanya dunia goyang kaya gempa,pusing dunia berguncang gempa,Negative
et dah ini tuh gempa ato gua yg pusinng yak,gempa keras pusinng,Negative
• Homoseista:   garis   permukaan bumi yang   mencatat gelombang gempa primer pada waktu yang sama dan berupa garis lingkaran atau elips.,homoseista garis permukaan bumi berguncang mencatat gelombang gempa primer berguncang terkadang garis lingkaran elips,Negative
Pleistoseista:   garis batas   daerah   yang   mengalami   kerusakan terberat yang terletak di sekitar episentrumny… https://t.co/cGkT3QELNV,pleistoseista garis batas daerah berguncang mengalami kerusakan terberat berguncang terletak episentrumny,Negative
"• Episentrum:   pusat   gempa   di permukaan bumi atau dasar laut, dengan gelombang gempa dari dalam bumi dirambatk… https://t.co/JFQnAkKnaJ",episentrum pusat gempa permukaan bumi dasar barat laut gelombang gempa bumi dirambatk,Negative
"Istilah-istilah yang berkaitan dengan gempa bumi, sebagai berikut:
• Seismologi:   ilmu   yang   mempelajari   gemp… https://t.co/qLUIMWkcCa",istilahistilah berguncang berkaitan gempa bumi seismologi ilmu berguncang mempelajari gemp,Negative
"6) Berdasarkan intensitasnya, dibedakan menjadi:
a) Makroseisme
merupakan gempa yang intensitasnya besar dan dapat… https://t.co/v4EFDqoPAZ",berdasarkan intensitasnya dibedakan makroseisme gempa berguncang intensitasnya terkadang,Negative
"4) Berdasarkan jarak hiposentrum
dibedakan menjadi:
a) Gempa lokal
&lt;10.000 km.

b) Gempa jauh
kurang lebih 10.000 k… https://t.co/2FgImHv9wP",berdasarkan jarak hiposentrum dibedakan gempa lokal lt gempa,Negative
"3) Berdasarkan letak hiposentrum
dibedakan menjadi:
a) Gempa dangkal
kedalaman hiposentrum &lt; 100 km.

b) Gempa mene… https://t.co/UEJi8PhWG4",berdasarkan letak hiposentrum dibedakan gempa dangkal kedalaman hiposentrum lt gempa mene,Negative
"2) Berdasarkan bentuk episentrumnya, dibedakan menjadi:
a) Gempa linier
episentrum berbentuk garis. Contoh: gempa t… https://t.co/6sd44HTFhp",berdasarkan bentuk episentrumnya dibedakan gempa linier episentrum berbentuk garis contoh gempa,Negative
"c) Gempa runtuhan
gempa yang terjadi akibat dislokasi dalam perut bumi. Gempa jenis ini biasanya terjadi pada daera… https://t.co/lww1hRzq8Y",gempa runtuhan gempa berguncang akibat dislokasi perut bumi gempa jenis daera,Negative
"b) Gempa vulkanik
merupakan gempa bumi yang terjadi akibat adanya aktivitas magma gunung api. Hal ini terjadi sebel… https://t.co/tDpHt4Wabh",gempa vulkanik gempa bumi berguncang akibat aktivitas magma gunung api sebel,Negative
"a) Gempa tektonik
merupakan gempa yang disebabkan oleh adanya aktivitas tektonik yaitu pergeseran lempengan tektoni… https://t.co/PikHZ5pzDl",gempa tektonik gempa berguncang disebabkan aktivitas tektonik pergeseran lempengan tektoni,Negative
"III. Gempa Bumi (Seisme)
Gempa bumi adalah getaran pada kulit bumi yang disebabkan oleh pelepasan energi dari dalam… https://t.co/p2Uyx8rhUt",iii gempa bumi seisme gempa bumi getaran kulit bumi berguncang disebabkan pelepasan energi,Negative
@worksfess Enggak semangat karena dibangunin ama gempa pagi tadi. Seharian serasa kyk zombie ni,semangat dibangunin gempa pagi seharian serasa kyk zombie,Neutral
"Penyebab Indonesia Sering Gempa, Tsunami dan Gunung Meletus, Ini Penjelasan Ilmiahnya https://t.co/0mFjpnqzuW",penyebab indonesia gempa tsunami terkadang gunung meletus penjelasan ilmiahnya,Negative
"@cvnanaaa @BoBoiBoy Nah Gempa
https://t.co/J9ZwfoYc41",gempa,Negative
"@null Penyebab Indonesia Sering Gempa, Tsunami dan Gunung Meletus, Ini Penjelasan Ilmi  https://t.co/X9iDcpBv0H",penyebab indonesia gempa tsunami terkadang gunung meletus penjelasan ilmi,Negative
@hojichagirl thank you liiis semoga gaada gempa susulan aamiiiin,thank you liiis semoga gaada gempa susulan aamiiiin,Neutral
"Dengan gemuruh aku kira gempa kayak tadi subuh

Bner2 kaget dan sy marah
Greget aja liat suami yg keluar lupa bawa… https://t.co/Du5I0JGw4b",gemuruh gempa subuh bner terkejut terkadang marah greget lihat suami lupa bawa,Negative
Deretan Foto Hoaks Sepekan: Jalanan Retak dan Masjid Ambruk Akibat Gempa Banten 14 Januari 2022 https://t.co/puCxmUWZDa,deretan foto hoaks sepekan jalanan retak terkadang masjid ambruk akibat gempa banten januari,Negative
@Gempa_Tsunami Semoga baik2 saja saudara kita yang di snaa,tsunami semoga saudara berguncang snaa,Neutral
@rrizkikiki @bacahorror Demii apaa 😭😭 tadi pagi aku baca thread ini biasa² aja tetep seneng kek biasa gak mikir apa… https://t.co/oLtZgVSYg7,demii apaa pagi baca thread tetep seneng berpikir,Neutral
"@charmingblue09 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/GKLGe8QtuM",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
antara gempa beneran atau darah rendah kadang susah dibedakan😔,gempa beneran darah rendah terkadang susah dibedakan,Negative
"@saputradeza14 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/2uRkVGG5To",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
Apa penyebab DKI Jakarta turut rasakan gerakan kuat meski episentrum gempa jauh dari wilayah tersebut? Berikut penj… https://t.co/9YMMCYJtSk,penyebab dki jakarta rasakan gerakan kuat episentrum gempa wilayah penj,Neutral
Aku pikir Ada gempa... Gak tau nya di aduk🤣 https://t.co/PUFdSktgeg,pikir terkadang gempa tau aduk,Negative
"@idextratime Mau komen tapi followers cuma 2, udah gitu jokesnya ""gempa itu anaknya gading-gisel"". blokkk",komen followers jokesnya gempa anaknya gadinggisel blokkk,Negative
BMKG Sosialisasikan Gempa Bumi dan Tsunami https://t.co/iFNDwYXGMX,bmkg sosialisasikan gempa bumi dantsunami,Negative
"Biasanya ni sekolah mau ada gempa juga tetep belajar. 2 taun lalu sich, biar kata ada pandemi jg ttp mau bablasin u… https://t.co/Ms6EmlYEjK",sekolah terkadang gempa tetep belajar taun sich biar terkadang pandemi ttp bablasin,Negative
"Td subuh gempa, aku yg msh tidur langsung bangun, pas lari keluar dr arah masjid kedengeran ada teriakan ""ANY, ANY,… https://t.co/1qiKIPcP3b",barat daya subuh gempa msh tidur langsung terbangun lari arah masjid kedengeran terkadang teriakan,Negative
"@kulinersurabaya Suroboyo Memang Bedo 😀

Nang Kene Panas Berangin dan Gempa Tadi Bisa",suroboyo bedo nang kene panas berangin terkadang gempa,Negative
"@VIVAcoid Perang akhir jaman,virus,gempa besar, dan perang dunia",perang jamanvirusgempa terkadang perang dunia,Neutral
"Wajib militer.

Kewajiban warga negara biasa.

Pekerja penjara (dalam kondisi tertentu).

Pekerjaan yang dilakukan… https://t.co/QXHGjmiiNc",wajib militer kewajiban warga negara pekerja penjara kondisi pekerjaan berguncang,Positive
Kepala Lapas Perempuan Mamuju Terima Hasil Pekerjaan Rehabilitasi Bangunan Pasca Gempa Majene-Mamuju – Kemenkumham… https://t.co/HbZyXvqVBf,kepala lapas perempuan mamuju terima hasil pekerjaan rehabilitasi bangunan pasca gempa majenemamuju kemenkumham,Negative
"@TeweL0101 Namanya udah dengki, pasti aja salah..padahal letak geografisnya bagus jarang gempa, terus di desain dar… https://t.co/MCPtrft3xN",namanya dengki salahpadahal letak geografisnya bagus jarang gempa desain dar,Negative
"@CNNIndonesia Memang sih disana bebas gempa
Cuma air gak bebas di IKN?",disana bebas gempa air bebas,Negative
@Gempa_Tsunami Tepatnya dimana ya?,tsunami tepatnya dimana berguncang,Negative
"Gempa Banten, 14 Januari lalu, guncangannya terasa hingga Jakarta. Ahli beberkan skenario terburuk gempa Banten yan… https://t.co/tH1d5lDWXo",gempa banten januari guncangannya jakarta ahli beberkan skenario terburuk gempa banten berguncang,Negative
Ngerasain gempa gak sih? Gw ngerasain goyang2. Padahal gak ada yg nyetel lagu loosdoll deh....,merasakan gempa merasakan berguncang terkadang nyetel lagu loosdoll,Negative
"@raramhrn Untung bukan tiba"" gempa",untung gempa,Negative
@salvaines @layananinfo13 @saradrie Tumben dia lama :( Gempa..,tumben gempa,Negative
Hiya gempa lagi,hiya gempa,Negative
"Jakarta udah tdak layak utk di jadikan Ibu Kota Negara 😳 turun nya permukaan tanah, banjir,gempa, macet, polusi, ap… https://t.co/Jwoqu6KWV0",jakarta tdak layak utk jadikan kota negara turun permukaan tanah banjirgempa macet polusi ap,Negative
@Axtonnie aowkwowkwok terdoxxing gempa,aowkwowkwok terdoxxing gempa,Negative
"Ya Allah kupikir gempa kok badanku goyang², efek bangun tidur  terus lari kedepan kok gak ada apa², sampe gemetar nih badan🤦",berguncang kupikir gempa badanku berguncang efek terbangun tidur lari kedepan terkadang gemetar nih badan,Negative
@alief911 Kemana aja pak.. info gempa sampe ribut-ribut masuknya di twitter duluan pak.. lebih cepat dr omongan tetangga,kemana info gempa ributribut masuknya twitter duluan cepat omongan tetangga,Neutral
Ternyata Bali gempa semalem. Bukannya pusing berasa gempa w malah bersin2. Gak ada relasinya sih emang 🤣,bali gempa semalam pusing berasa gempa bersin terkadang relasinya,Negative
Eh gempa,gempa,Negative
@mantansadgirrl kek gempa dong,gempa,Negative
kirain gempa ternyata badan gue yg gemeter abis lari larian dari warung,gempa badan gemeter habis lari larian warung,Negative
"SchApp! gais aku ada tugas inggris suru bikin berita gitu, saranin dong berita selain omicron dan gempa, kalo bisa… https://t.co/2FgcKEws0h",schapp gais terkadang tugas inggris suru bikin berita saranin berita omicron terkadang gempa,Negative
"Ikut Terdampak Gempa 2021, Gedung Lapas Perempuan kelas III Mamuju Kini Rampung Diperbaiki – Kemenkumham Sulbar… https://t.co/wcQVBBkFhy",terdampak gempa gedung lapas perempuan kelas iii mamuju rampung diperbaiki kemenkumham sulbar,Positive
@DinarzNoh @MulyadiDjopaw10 @ari_santhovski @EJat3010 @KompasTV Kecelakaan karena tj tidak diurus dengan baik semen… https://t.co/K0LHYs9qtV,santhovski kecelakaan tj diurus semen,Negative
"Bertahap, Pembangunan Rumah Warga Terdampak Gempa Mulai Digarap https://t.co/iDkRLAQMsj #BeritaBaru… https://t.co/zAa6Ptdmyn",bertahap pembangunan rumah warga terdampak gempa digarap,Neutral
"@Fadlyarfandi95 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/HSWUKVBkEI",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
@D05723084 @MulyadiDjopaw10 @ari_santhovski @EJat3010 @KompasTV Orang bodoh itu adalah orang yg menyalahkan pemimpi… https://t.co/lwULdSe7l4,santhovski orang bodoh orang menyalahkan pemimpi,Negative
"mi_ChristyChiBi kamu itu kayak lempengan bumi ya, geser
dikit aja bisa https://t.co/4CxwZMGrMy hati aku.",michristychibi lempengan bumi berguncang bergeser hati,Neutral
"Info Gempa Mag:3.1 SR, 25-Jan-22 14:21:13 WITA,Lok: 7.60 LS - 122.44 BT (98 km BaratLaut LARANTUKA-NTT), Kedlmn: 10… https://t.co/byVGmc3IgA",info gempa magnitudo januari witalok barat laut larantukantt kedalaman,Negative
"@jek___ Kirain siang-siang gempa, ternyata kasur gua doang",siangsiang gempa kasur,Negative
"Info Gempa Mag:3.1 SR, 25-Jan-22 14:21:13 WITA,Lok: 7.60 LS - 122.44 BT (98 km BaratLaut LARANTUKA-NTT), Kedlmn: 10… https://t.co/0vgDGbnRQ9",info gempa magnitudo januari witalok barat laut larantukantt kedalaman,Negative
"Gempa Haiti M 5,3: 2 Orang Tewas, 200 Rumah Hancur

Via: https://t.co/KqvEnWXGU2 

#NOTD",gempa haiti orang tewas rumah hancur via,Negative
"@mgaputri Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/diLHUgodFv",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"Dear @infoBMKG, mgkn bisa ditingkatkan lagi kecepatan update gempanya. Krn dari saat gempa terjadi sampai update in… https://t.co/hd8dE2TWGd",dear mgkn ditingkatkan kecepatan update gempanya gempa update merasakan,Negative
"https://t.co/bu6IGsqejY

Gempa bumi tektonik magnitudo 4,6 mengguncang Lombok Barat pada Selasa (25/1)",gempa bumi tektonik magnitudo mengguncang lombok barat daya selasa,Negative
"@atiqohalhamid Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/IQhugiM17d",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"[ANALISIS GEOLOGI KEJADIAN GEMPA BUMI DI PULAU LOMBOK TANGGAL 25 JANUARI 2022]

⚠️ Telah terjadi gempa bumi dengan… https://t.co/mOnzn1ybiQ",analisis geologi kejadian gempa bumi pulau lombok tanggal januari gempa bumi,Negative
"Warga Panik, Lombok Diguncang Gempa Magnitudo 4,6
https://t.co/20mk9upooX",warga panik lombok diguncang gempa magnitudo,Negative
"@gunawannpn Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/d25NkIOkBz",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"@No_VitaMin yg itu kan seminggu 4 x 🤣

makanya gaya Jepang paling bener .. lantai nya kayu.. 😂
gempa tidak terasa.

😄😄😝😝😝",vitamin seminggu gaya jepang lantai kayu gempa,Negative
"@jogjamnfs Main diteras rumah sambil nungguin nasi goreng buatan ibuk, ehh tb2 ada gempa langsung digendong ibuk sa… https://t.co/kQfgvPTrZy",main diteras rumah nungguin nasi goreng buatan ibuk sejujurnya terkadang gempa langsung digendong ibuk berasa,Negative
"@CenayangFilm Bakal ada di disney+ ga si? Kemaren lagi nonton di bioskop, baru setengah jam ada gempa jadi cabut",terkadang disney kemarin nonton bioskop jam terkadang gempa cabut,Negative
"@He_Fath17 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/lVUQNZOZEn",fath halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
@NogoSosroAsli moga bukan karena gempa ya😂,moga gempa berguncang,Negative
"Gempa 4,6 Guncang Mataram, Lombok - Bali
https://t.co/si91XmA1NP

#infosumsel #Gempa #Mataram #Lombok #gempabumi… https://t.co/a1BezAOc9j",gempa guncang mataram lombok bali,Negative
"Gempa yang paling mematikan adalah gempa di Shanxi Cina, pada 23 Januari 1556. Sekitar 830 ribu korban meninggal akibat gempa tsb.",gempa berguncang mematikan gempa shanxi cina januari ribu korban meninggal akibat gempa tsb,Negative
"Kekuatan gempa sesar lokal maksimal 5,5 magnitudo https://t.co/zNKxik4M4F",kekuatan gempa sesar lokal maksimal magnitudo,Negative
"@littlecroco11 ketimpa bangunan, karena ga dibangunin ayang pas gempa 🗿🗿",ketimpa bangunan dibangunin ayang gempa,Negative
"Hari Ini, Gempa 4,6 SR Guncang Lombok hingga Bali, Tidak Berpotensi Tsunami

Baca Selengkapnya… https://t.co/mPURWfQG54",gempa guncang lombok bali berpotensi tsunami baca selengkapnya,Negative
@Gempa_Tsunami Dekat dgn mandalika kah?,tsunami mandalika kah,Negative
@syendiprt Pertama kali ngrasain gempa juga gitu. kukira dijailin setan.😂,kali ngrasain gempa kukira dijailin setan,Negative
@rahabganendra Tanda alam wis mulaii genderang..hati2 jaman kolo bendu..byk air dmana2.. Gempa akan terus nenerus..… https://t.co/pMWZGvLw6R,tanda alam wis mulaii genderanghati jaman kolo bendubyk air dmana gempa nenerus,Negative
"Rusak Akibat Gempa Majene-Mamuju, Kepala LPP Mamuju Terima Hasil Pekerjaan Rehabilitasi Bangunan Dari PUPR – Kemenk… https://t.co/x8PK0g6sj9",rusak akibat gempa majenemamuju kepala lpp mamuju terima hasil pekerjaan rehabilitasi bangunan pupr kemenk,Negative
"tadi di sekolah story time tentang gempa tadi pagi, ada yang lagi sholat ada yang sampe jatuh😭😭",sekolah story time gempa pagi terkadang berguncang sholat terkadang berguncang jatuh,Negative
@BuyosMi @Gempa_Tsunami Sudah byk maksiat di bumi ini,tsunami byk maksiat bumi,Negative
sch! guys ada yg bisa kasih contoh gempa tektovulkanik gaa? aku dari tadi nyari ga nemu 😭😭😭 makasih banyak yg udh mau bantu!!!,sch guys terkadang kasih contoh gempa tektovulkanik gaa nyari nemu makasih bantu,Positive
"@ncit24doy Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/1KuZnR2lsS",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"Gempuran gempa terus berlanjut, di lempeng Indo- Australia, TONGA da NEW ZEALAND masih terus mendukung  gempanya M5… https://t.co/DqrxbZYcxg",gempuran gempa berlanjut lempeng indo australia tonga new zealand mendukung gempanya,Negative
"Open donasi peduli sesama, minimal donasi Rp.1,- diperuntukan membantu membeli iqro dan Al qur'an, Rp.1,- untuk ama… https://t.co/FH5VBuZnYr",open donasi peduli minimal donasi rp diperuntukan membantu membeli iqro terkadang quran rp,Positive
"jadi inget dulu pas SD pernah kena gempa 7,0 SR. dalam sejam terjadi 3 gempa besar sama peringatan tsunami, terus d… https://t.co/obGvqB6D54",inget sd terkena gempa sejam gempa peringatan tsunami,Negative
Iki opo omahku tok sek gempa,opo omahku tok sek gempa,Negative
@tragci td pagi gempa,barat daya pagi gempa,Negative
"Gempa M 5,1 Selasa 25 Jan 2022, ( 12 :00 WIB) kedalaman 10 km, SAMUDERA ATLANTIK UTARA,

Lihat gambar garis biru, (… https://t.co/Pb43ykmHDz",gempa selasa januari wib kedalaman samudera atlantik utara lihat gambar garis biru,Negative
"@RPekik Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/f17sxTtFCa",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
@Gempa_Tsunami Suara Gemuruh saya dengar di Nusa dua. Dan saat itu saya tidak tau ternyata gempa di ntb,tsunami suara gemuruh dengar nusa terkadang tau gempa ntb,Negative
"Innalillahi.. Gempa berkekuatan Magnitudo 4,6, terjadi pada pukul 05.14 WITA di Lombok, NTB.. 
25 Januari 2022 https://t.co/Lv7EXylHXG",innalillahi gempa berkekuatan magnitudo wita lombok ntb januari,Negative
"Ikut Terdampak Gempa 2021, Gedung Lapas Perempuan kelas III Mamuju Kini Rampung Diperbaiki – Kemenkumham Sulbar… https://t.co/12eyhJi48S",terdampak gempa gedung lapas perempuan kelas iii mamuju rampung diperbaiki kemenkumham sulbar,Positive
Kepala Lapas Perempuan Mamuju Terima Hasil Pekerjaan Rehabilitasi Bangunan Pasca Gempa Majene-Mamuju – Kemenkumham… https://t.co/UZbbJGspTh,kepala lapas perempuan mamuju terima hasil pekerjaan rehabilitasi bangunan pasca gempa majenemamuju kemenkumham,Negative
"Sekarang gue nanya deh li, faedahnya foto kek gini apa ya?
Emang ya yg gempa terus tertutup gitu baju2nya pas buka… https://t.co/j4T4PSP7e2",lihat faedahnya foto berguncang berguncang gempa tertutup bajunya buka,Negative
"#MANCA 

Gempa M 5,3 Guncang Haiti, 2 Orang Tewas dan 800 Rumah Hancur
https://t.co/RB5cTg64MQ 

#11N1",gempa guncang haiti orang tewas terkadang rumah hancur,Negative
"@hitudt eh lo jgn gt kontol, eni wita eh dilombok td gempa bumi",lokasi jgn kontol eni wita dilombok barat daya gempa bumi,Negative
"Gempa M5,3 Selasa 25 Jan 2022, ( 09:14 WIB) kedalaman 10 km, Trinidad dan Tobago https://t.co/uBMYZIeRoa",gempa selasa januari wib kedalaman trinidad terkadang tobago,Negative
@sadestbindaclub Gempa dimanaa?,gempa dimanaa,Negative
"Isu Gempa Berskala Megathrust di Selat Sunda, Peneliti BMKG Jelaskan Fenomena Ini

https://t.co/lAflxV9l2a",isu gempa berskala megathrust selat sunda peneliti bmkg fenomena,Negative
"Ikut Terdampak Gempa 2021, Gedung Lapas Perempuan kelas III Mamuju Kini Rampung Diperbaiki – Kemenkumham Sulbar… https://t.co/lx2Q1v2MCT",terdampak gempa gedung lapas perempuan kelas iii mamuju rampung diperbaiki kemenkumham sulbar,Positive
Kepala Lapas Perempuan Mamuju Terima Hasil Pekerjaan Rehabilitasi Bangunan Pasca Gempa Majene-Mamuju – Kemenkumham… https://t.co/Z4MIdCmKl2,kepala lapas perempuan mamuju terima hasil pekerjaan rehabilitasi bangunan pasca gempa majenemamuju kemenkumham,Negative
"Rusak Akibat Gempa Majene-Mamuju, Kepala LPP Mamuju Terima Hasil Pekerjaan Rehabilitasi Bangunan Dari PUPR – Kemenk… https://t.co/nMDvgOgwfK",rusak akibat gempa majenemamuju kepala lpp mamuju terima hasil pekerjaan rehabilitasi bangunan pupr kemenk,Negative
@nadhiralattas @Tinsaggaf Barakallahufikum Bib,barakallahufikum bib,Neutral
"@AzizMustofa Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/HYREaXFnzO",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"Innalillahi..

Gempa silih berganti terus terjadi... https://t.co/qWwSnzAKmA",innalillahi gempa silih berganti,Negative
"Gempa haiti kemarin  di erdbeben 5,7 telah memewaskan dua orang 52 org luka dan hampir 200 bgunan hncur",gempa haiti kemarin erdbeben memewaskan orang luka terkadang bgunan hncur,Negative
"MEDIA JABODETABEK - Wilayah Mataram dan Lombok Barat pada Selasa, 25 Januari 2022 pukul 05.14.14 WITA diguncang gem… https://t.co/M5gH24MnJl",media jabodetabek wilayah mataram terkadang lombok barat daya selasa januari wita diguncang gem,Negative
Saya : Pak maaf mobilny nanti sedikit berdebu tdk apa2? Soalny sedang ad pekerjaan perkuataan struktur? *meskipun s… https://t.co/ag2ILEhHhd,maaf mobilny berdebu soalny terkadang pekerjaan perkuataan struktur,Positive
"VIDEO Headline: Peregangan Pulau Jawa dengan Pulau Sumatera, Potensi Gempa Besar? https://t.co/cEC5SgqBve",video headline peregangan pulau jawa pulau sumatera potensi gempa,Neutral
@kimdoyyo Ada gempa di Bali tapi,terkadang gempa bali,Negative
barusan gempa atau badan gua doang yang gemeteran,barusan gempa badan berguncang gemeteran,Negative
Trauma karna kejadian gempa 2018 bikin emang rada2 suka drama kalo sekedar aja gempa kecil,trauma kejadian gempa bikin rada suka drama sekedar gempa,Negative
"Terus sholat deh, sujud rekaat pertama gempa",sholat sujud rekaat gempa,Negative
"Oh cerita yang tertunda, mau cerita soal gempa tadi pagi wkwkwk",rubuh cerita berguncang tertunda cerita gempa pagi,Negative
"Gempa 4,6 Magnitudo Guncang Lombok, Warga Berhamburan Keluar Rumah #news #indonesia #jadicepatpaham #Lombok 
https://t.co/nMkoY8xBn7",gempa magnitudo guncang lombok warga berhamburan rumah,Negative
"@syflmsa Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/j50BhrNNnh",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"Innalillahi.. Gempa berkekuatan Magnitudo 4,6, terjadi pada pukul 05.14 WITA di Lombok, NTB..… https://t.co/LmNvbhvTjR",innalillahi gempa berkekuatan magnitudo wita lombok ntb,Negative
Sumpah flavia di lantai 12 pas gempa kmrn ga bergerak sama sekali padahal anjing di lantai 9 gemeteran sampe nangis https://t.co/GQsNdr1P0x,sumpah flavia lantai gempa kemarin bergerak anjing lantai gemeteran nangis,Negative
"@Gempa_Tsunami Semoga tdk trjd korban yg parah dan selalu mendapatkan perlindungan dari Allah...
Aamiin",tsunami semoga trjd korban parah terkadang perlindungan aamiin,Negative
@RadenHanif9 Wkwk ya maap soalnya udh sering rasain gempa di atas 5 thn 2018 😂,berguncang maap merasakan gempa,Negative
